part_number;description;unit_code;com_code1;com_code2
POP00001;poporuh černý PAD 10 mm;m;POP;NULL
POP00002;popruh černý PAD 16 mm;m;POP;NULL
POP00003;popruh černý PAD 20 mm;m;POP;NULL
POP00004;popruh černý PAD 25 mm;m;POP;NULL
POP00005;popruh černý PAD 40 mm;m;POP;NULL
POP00006;lemovka černá PAD 25 mm;m;POP;NULL
POP00007;lemovka černá PES 25 mm;m;POP;NULL
POP00008;pruženka černá 25 mm;m;POP;NULL
POP00009;popruh černý PES 10 mm;m;POP;NULL
POP00010;popruh černý PES 16 mm;m;POP;NULL
POP00011;popruh černý PES 20 mm;m;POP;NULL
POP00012;popruh černý PES 25 mm;m;POP;NULL
POP00013;popruh černý PES 55 mm;m;POP;NULL
POP00014;popruh černý bavlna 20 mm;m;POP;NULL
POP00015;popruh bílý PAD 10 mm;m;POP;NULL
POP00016;popruh bílý PAD 20 mm;m;POP;NULL
POP00017;popruh bílý PAD 25 mm;m;POP;NULL
POP00018;popruh přírodní bavlna 20 mm;m;POP;NULL
POP00019;popruh přírodní bavlna 30 mm;m;POP;NULL
POP00020;popruh modrý PAD 10 mm;m;POP;NULL
POP00021;popruh modrý PAD 20 mm;m;POP;NULL
POP00022;popruh modrý PAD 25 mm;m;POP;NULL
POP00023;popruh modrý bavlna 40 mm;m;POP;NULL
POP00024;popruh oranžový reflexní PAD 16 mm;m;POP;NULL
POP00025;popruh oranžový reflexní PAD 20 mm;m;POP;NULL
POP00026;popruh oranžový tmavě PAD 20 mm;m;POP;NULL
POP00027;popruh červený PAD 10 mm;m;POP;NULL
POP00028;popruh červený PAD 20 mm;m;POP;NULL
POP00029;popruh červený PAD 25 mm;m;POP;NULL
POP00030;popruh zelený reflexní PAD 10 mm;m;POP;NULL
POP00031;popruh žlutý PAD 10 mm;m;POP;NULL
POP00032;popruh šedý PAD 10 mm;m;POP;NULL
POP00033;popruh béžový PAD 20 mm;m;POP;NULL
POP00034;popruh fialový PAD 20 mm;m;POP;NULL
POP00035;popruh kaki bavlna 34 mm;m;POP;NULL
POP00036;popruh pruhovaný č,o,z,m,ž 25 mm;m;POP;NULL
POP00037;popruh pruhovaný š,f,š 30 mm;m;POP;NULL
POP00038;pryžové vlákno černá PES;m;POP;NULL
POP00039;gumolano červené 4mm;m;POP;NULL
POP00040;oděvní vázačka bílý PES 3,5mm;m;POP;NULL
POP00041;oděvní vázačka černý PES 3,5 mm;m;POP;NULL
POP00042;oděvní vázačka žlutý PES 3,5 mm;m;POP;NULL
POP00043;paracorde modrá  3,5 mm;m;POP;NULL
POP00044;paracorde červený 3,5 mm;m;POP;NULL
POP00045;paracorde černý 3,5 mm;m;POP;NULL
POP00046;automobilové pásy 45mm;m;POP;NULL
POP00047;dutinka zlatá 20 mm;m;POP;NULL
POP00048;suché zipy 10 mm háček;m;POP;NULL
POP00049;suché zipy 10 mm plyš;m;POP;NULL
POP00050;suché zipy 25 mm háček;m;POP;NULL
POP00051;suché zipy 25 mm plyš;m;POP;NULL
POP00052;suché zipy 30 mm háček;m;POP;NULL
POP00053;suché zipy 30 mm plyš;ks;POP;NULL
POP00054;prsní zavírání pytel 20mm*600mm;ks;POP;NULL
POP00055;horní lem pytel 20mm*930mm;ks;POP;NULL
HAR00001;YKK samice 25 mm černá;ks;HAR;NULL
HAR00002;YKK samec 25 mm černá;ks;HAR;NULL
HAR00003;YKK samec 25 mm černá EVO;ks;HAR;NULL
HAR00004;YKK samice 25 mm černá EVO;ks;HAR;NULL
HAR00005;YKK samice 20 mm černá;ks;HAR;NULL
HAR00006;YKK samec 20 mm černá;ks;HAR;NULL
HAR00007;YKK samec 16 mm černá;ks;HAR;NULL
HAR00008;YKK samice 16 mm černá;ks;HAR;NULL
HAR00009;YKK žebříček 16 mm černá;ks;HAR;NULL
HAR00010;YKK žebříček 20 mm černá;ks;HAR;NULL
HAR00011;YKK žebříček 25 mm černá;ks;HAR;NULL
HAR00012;YKK žebříček 25 mm černá WICKER;ks;HAR;NULL
HAR00013;YKK očko 18 mm černá;ks;HAR;NULL
HAR00014;YKK očko 20 mm černá;ks;HAR;NULL
HAR00015;YKK očko 25 mm černá;ks;HAR;NULL
HAR00016;YKK očko 40 mm černá;ks;HAR;NULL
HAR00017;YKK zip černý pogumovaný;ks;HAR;NULL
HAR00018;YKK 5 zip černý reverzní;ks;HAR;NULL
HAR00019;YKK jezdec 5E černá;ks;HAR;NULL
HAR00020;YKK jezdec 5EJ černá;ks;HAR;NULL
HAR00021;YKK klíčenka černá;ks;HAR;NULL
HAR00022;YKK D-kroužek černá;ks;HAR;NULL
HAR00023;YKK karabina černá;ks;HAR;NULL
HAR00024;YKK trojzubec 50 mm černá (samec+samice);ks;HAR;NULL
HAR00025;YKK bikeroller přezka;ks;HAR;NULL
HAR00026;YKK jezdec 5E bílý;ks;HAR;NULL
HAR00027;YKK průvleky 20 mm;ks;HAR;NULL
HAR00028;trojzubec 40 mm černá (samec+samice);ks;HAR;NULL
HAR00029;žebříček 40 mm černá CROSSBODY;ks;HAR;NULL
HAR00030;YKK zip 28 cm žlutý;ks;HAR;NULL
HAR00031;YKK zip 28 cm bílý;ks;HAR;NULL
HAR00032;YKK zip kovový 18 cm černý;ks;HAR;NULL
HAR00033;YKK zip kovový 18 cm bílý;ks;HAR;NULL
HAR00034;zip kovový 18 cm černý;ks;HAR;NULL
HAR00035;YKK zip spirálový reverzní 5 CI černá;ks;HAR;NULL
HAR00036;Fidlock V-BUCKLE 20 mm jednostranně nastavitelná;ks;HAR;NULL
HAR00037;Fidlock V-BUCKLE 25 mm jednostranně nastavitelná;ks;HAR;NULL
HAR00038;Fidlock V-BUCKLE 40 LL 40 mm nastavitelná černá;ks;HAR;NULL
HAR00039;Fidlock V-BUCKLE 40 SB 40 mm fix černá;ks;HAR;NULL
HAR00040;Fidlock HOOK 40 belt LL;ks;HAR;NULL
HAR00041;Fidlock přezka 20 mm stříbrná;ks;HAR;NULL
HAR00042;Fidlock Stripe X3;ks;HAR;NULL
HAR00043;Fidlock Coinstrap 15 mm na helmu;ks;HAR;NULL
HAR00044;Fidlock SNAP špuntík samec M kulatá nízká černá;ks;HAR;NULL
HAR00045;Fidlock SNAP špuntík samice M kulatá nízká černá;ks;HAR;NULL
HAR00046;Fidlock SNAP samec S na gumičku;ks;HAR;NULL
HAR00047;Fidlock SNAP samice S kulatá nízká černá;ks;HAR;NULL
HAR00048;Fidlock SNAP male M 25 adjuster k rolce;ks;HAR;NULL
HAR00049;Fidlock HOOK 20 na gumičku černá;ks;HAR;NULL
HAR00050;WeTool kovový žebříček 20 mm černá;ks;HAR;NULL
HAR00051;WeTool kovový žebříček 25 mm černá;ks;HAR;NULL
HAR00052;WeTool kovový G-Hook 20 mm levá černá;ks;HAR;NULL
HAR00053;WeTool kovový G-Hook 20 mm pravá černá;ks;HAR;NULL
HAR00054;WeTool kovový G-Hook 25 mm levá černý;ks;HAR;NULL
HAR00055;WeTool kovový H-Hook 25 mm černá;ks;HAR;NULL
HAR00056;WeTool kovový karabina 20 mm černá;ks;HAR;NULL
HAR00057;WeTool kovový protikus karabina 20 mm černá;ks;HAR;NULL
HAR00058;WeTool kovová karabina obdélníková 20 mm černá;ks;HAR;NULL
HAR00059;WeTool kovová karabina obdélníková 10 mm černá;ks;HAR;NULL
HAR00060;WeTool kovová karabina otočná 20 mm černá;ks;HAR;NULL
HAR00061;WeTool kovové D-očko 20 mm černá;ks;HAR;NULL
HAR00062;titanová žabka 20 mm;ks;HAR;NULL
HAR00063;PJ trojzubec 25 mm bílá (samec+samice);ks;HAR;NULL
HAR00064;PJ žebříček 25 mm bílá;ks;HAR;NULL
HAR00065;PJ žebříček 20 mm bílá;ks;HAR;NULL
HAR00066;PJ samec 20 mm bílá;ks;HAR;NULL
HAR00067;PJ samice 20 mm bílá;ks;HAR;NULL
HAR00068;PJ očko 20 mm bílá;ks;HAR;NULL
HAR00069;PJ očko 20 mm černá;ks;HAR;NULL
HAR00070;PJ očko 40 mm černá;ks;HAR;NULL
HAR00071;PJ spona 20 mm bílá;ks;HAR;NULL
HAR00072;PJ trojzubec 10 mm bílá (samec+samice);ks;HAR;NULL
HAR00073;PJ trojzubec 10 mm černá;ks;HAR;NULL
HAR00074;PJ karabina 20 mm černá;ks;HAR;NULL
HAR00075;PJ karabina 30 mm černá;ks;HAR;NULL
HAR00076;PJ trojzubec 30 mm černá;ks;HAR;NULL
HAR00077;PJ žebříček 40 mm černá;ks;HAR;NULL
HAR00078;PJ D-kroužek černá 20 mm;ks;HAR;NULL
HAR00079;Massag kovový zebříček 20 mm měděný;ks;HAR;NULL
HAR00080;Massa kovový žebříček 20 mm černá;ks;HAR;NULL
HAR00081;Metal clash hook;ks;HAR;NULL
LAT00001;Kortexin černý;m;LAT;ASI
LAT00002;Kortexin žlutý;m;LAT;ASI
LAT00003;Kortexin bílý;m;LAT;ASI
LAT00004;Kortexin červený;m;LAT;ASI
LAT00005;Kortexin sv.šedá;m;LAT;ASI
LAT00006;Kortexin hnědý;m;LAT;ASI
LAT00007;Kortexin oranžový;m;LAT;ASI
LAT00008;černý PES s PVC zátěrem;m;LAT;ASI
LAT00009;žlutý PES s PVC zátěrem;m;LAT;ASI
VYP00001;Molitan 2 cm;m;VYP;NULL
VYP00002;EVA pěna 10 mm;m;VYP;NULL
VYP00003;Eva pěna 6 mm;m;VYP;NULL
VYP00004;Eva pěna 2 mm;m;VYP;NULL
LAT00010;3D tkanina;m;LAT;NULL
LAT00011;Outlast;m;LAT;FUN
LAT00012;Ubeon žlutá;m;LAT;PODS
LAT00013;Ubeon světle šedá;m;LAT;PODS
LAT00014;Ubeon modrá;m;LAT;PODS
LAT00015;Ubeon se zátěrem bílá;m;LAT;PODS
LAT00016;Ulsedan zářivě žlutá;m;LAT;PODS
LAT00017;Ulsedan zářivě oranžová;m;LAT;PODS
LAT00018;Ulsedan modrá;m;LAT;PODS
LAT00019;Ulsedan černá;m;LAT;PODS
LAT00020;Ulsedan zelená plzeňská;m;LAT;PODS
LAT00021;Ulsedan červená;m;LAT;PODS
LAT00022;Ulsedan fialová;m;LAT;PODS
LAT00023;Uzaron fialová;m;LAT;PODS
LAT00024;Uzaron červená;m;LAT;PODS
LAT00025;Uzaron růžová;m;LAT;PODS
LAT00026;Uzaron žlutá;m;LAT;PODS
LAT00027;Uzaron královská modrá;m;LAT;PODS
LAT00028;Uzaron černá;m;LAT;PODS
LAT00029;Ubeon zelená;m;LAT;PODS
LAT00030;Padákovina černá;m;LAT;PAD
LAT00031;Padákovina khaki;m;LAT;PAD
LAT00032;Padákovina stříbrná;m;LAT;PAD
LAT00033;Padákovina navy;m;LAT;PAD
LAT00034;Cordura CZ 1100 černá PU zátěr;m;LAT;COR
LAT00035;Cordura CZ 1100 khaki PU zátěr;m;LAT;COR
LAT00036;Cordura DE 1100 černá AC zátěr;m;LAT;COR
LAT00037;Cordura DE 1100 navy AC zátěr;m;LAT;COR
LAT00038;Cordura DE 1100 oranžová AC zátěr;m;LAT;COR
LAT00039;Cordura DE 1100 červená AC zátěr;m;LAT;COR
LAT00040;Cordura DE 1100 modrá AC zátěr;m;LAT;COR
LAT00041;Cordura DE 1100 žlutá AC zátěr;m;LAT;COR
LAT00042;Cordura DE 1100 ecru AC zátěr;m;LAT;COR
LAT00043;Cordura DE 1100 tmavě šedá AC zátěr;m;LAT;COR
LAT00044;Cordura DE 1100 khaki AC zátěr;m;LAT;COR
LAT00045;Cordura DE 1100 kávová AC zátěr;m;LAT;COR
LAT00046;"Cordura Belgická ""UKORET"" 1100 černá";m;LAT;COR
LAT00047;Cordura DE 1100 trávově zelená AC zátěr;m;LAT;COR
LAT00048;Cordura DE 1100 coyote AC zátěr;m;LAT;COR
LAT00049;Cordura DE 1100 jarní zelená AC zátěr;m;LAT;COR
LAT00050;Cordura DE 1100 tan AC zátěr;m;LAT;COR
LAT00051;Cordura DE 1100 akvamarin AC zátěr;m;LAT;COR
LAT00052;Cordura DE 1100 khaki PVC zátěr;m;LAT;COR
LAT00053;Cordura DE 1100 šedá AC zátěr;m;LAT;COR
LAT00054;Cordura DE 1100 fialová AC zátěr;m;LAT;COR
LAT00055;Cordura DE 1100 zlatá AC zátěr;m;LAT;COR
LAT00056;Cordura DE 1100 tmavě zelená AC zátěr;m;LAT;COR
LAT00057;Cordura DE 1100 armádní zelená AC zátěr;m;LAT;COR
LAT00058;Cordura DE 1100 olivově zelená AC zátěr;m;LAT;COR
LAT00059;Cordura DE 1100 růžová AC zátěr;m;LAT;COR
LAT00060;Cordura CZ 500 černá PU zátěr;m;LAT;COR
LAT00061;Cordura DE 500 černá PU zátěr;m;LAT;COR
LAT00062;Cordura DE 500 navy AC zátěr;m;LAT;COR
LAT00063;Cordura DE 500 oranžová AC zátěr;m;LAT;COR
LAT00064;Cordura DE 500 žlutá AC zátěr;m;LAT;COR
LAT00065;Cordura DE 500 bílá AC zátěr;m;LAT;COR
LAT00066;Cordura DE 500 světle modrá AC zátěr;m;LAT;COR
LAT00067;Cordura DE 500 šedá AC zátěr;m;LAT;COR
LAT00068;Cordura DE 500 šedá/zelená AC zátěr;m;LAT;COR
LAT00069;Cordura DE 500 hnědá AC zátěr;m;LAT;COR
LAT00070;Cordura DE 500 zářivě žlutá AC zátěr;m;LAT;COR
LAT00071;Cordura DE 500 blankytně modrá AC zátěr;m;LAT;COR
LAT00072;Cordura DE 500 světle šedá AC zátěr;m;LAT;COR
LAT00073;Cordura DE 500 červená AC zátěr;m;LAT;COR
LAT00074;Cordura DE 500 khaki AC zátěr;m;LAT;COR
LAT00075;Cordura DE 500 vínová AC zátěr;m;LAT;COR
LAT00076;Cordura DE 500 šedá ocelová AC zátěr;m;LAT;COR
LAT00077;Cordura DE 500 tan AC zátěr;m;LAT;COR
LAT00078;Xpac VX21 black;m;LAT;AME
LAT00079;Xpac VX21 purple;m;LAT;AME
LAT00080;Xpac VX21 yellow;m;LAT;AME
LAT00081;Xpac VX21 white;m;LAT;AME
LAT00082;Xpac RX36/DWR black;m;LAT;AME
LAT00083;Xpac RX36/DWR white;m;LAT;AME
LAT00084;Xpac RX30/DWR black;m;LAT;AME
LAT00085;Xpac RX15/DWR white;m;LAT;AME
LAT00086;Xpac VX21 RIPSTOP black;m;LAT;AME
LAT00087;Patrik Antzcak tisk;m;LAT;PES
LAT00088;Paperjoe tisk;m;LAT;PES
LAT00089;Bavlna CZ černá;m;LAT;BAV
LAT00090;Bavlna IT impregnace černá;m;LAT;BAV
LAT00091;Bavlna IT oranžová;m;LAT;BAV
LAT00092;Bavlna CZ khaki;m;LAT;BAV
LAT00093;Bavlna IT přírodní;m;LAT;BAV
LAT00094;Bavlna CZ přírodn;m;LAT;BAV
LAT00095;Bavlna CZ žlutá;m;LAT;BAV
LAT00096;Bavlna CZ tmavě žlutá;m;LAT;BAV
LAT00097;Bavlna CZ magenta;m;LAT;BAV
LAT00098;Bavlna CZ modrá;m;LAT;BAV
LAT00099;Bavlna England (monocle) khaki;m;LAT;BAV
LAT00100;Bavlna England (monocle) navy;m;LAT;BAV
LAT00101;podložení molitanu záda;m;LAT;PODK
BRA00001;tkaná etiketa kosočtverec černobílá Braasi Industry;ks;BRA;NULL
BRA00002;tkaná etiketa přežehlená černobílá B/IN;ks;BRA;NULL
BRA00003;tkaná etiketa přežehlená úzká čepice;ks;BRA;NULL
BRA00004;tkaná etiketa kosočtverec meděná Braasi Industry;ks;BRA;NULL
BRA00005;tkaná etiketa ROBE;ks;BRA;NULL
BRA00006;tkaná etiketa DIRECT;ks;BRA;NULL
BRA00007;tkaná etiketa SEYFOR;ks;BRA;NULL
BRA00008;tkaná etiketa PPF/ BRAASI;ks;BRA;NULL
BRA00009;tkaná etiketa ČESKO DIGITAL;ks;BRA;NULL
BRA00010;tkaná etiketa WE ARE PUBLICIS;ks;BRA;NULL
BRA00011;tkaná etiketa CLEVERHOOD;ks;BRA;NULL
BRA00012;tkaná etiketa CLEVERHOOD/ BRAASI;ks;BRA;NULL
BRA00013;tkaná etiketa WINQS;ks;BRA;NULL
BRA00014;tkaná etiketa GARAGE 22;ks;BRA;NULL
BRA00015;tkaná etiketa BEEFEATER;ks;BRA;NULL
BRA00016;tkaná etiketa JOHNNIE WALKER;ks;BRA;NULL
BRA00017;tkaná etiketa HORALKY;ks;BRA;NULL
BRA00018;tkaná etiketa CANVA;ks;BRA;NULL
LAT00102;SILK 0842 černá;m;LAT;KUZ
LAT00103;SILK 0250 rezavá;m;LAT;KUZ
LAT00104;VENICE 64080 Albiocca tělová;m;LAT;KUZ
LAT00105;VENICE 64100 Black černá;m;LAT;KUZ
LAT00106;VENICE 64030 Ecrú písková;m;LAT;KUZ
LAT00107;VENICE 64150 Pervinca lila;m;LAT;KUZ
LAT00108;VENICE 64150 Cloud Pink nude;m;LAT;NULL
LAT00109;VENICE 64110 Corallo lososová;m;LAT;NULL
LAT00110;VENICE 64040 Cappuccino bílá káva;m;LAT;KUZ
NIT00001;Ultrapoly 30 černá 999;ks;NIT;NULL
NIT00002;Ultrapoly 30 modrá 549;ks;NIT;NULL
NIT00003;Ultrapoly 30 světle šedá 882;ks;NIT;NULL
NIT00004;Ultrapoly 30 žlutá 125;ks;NIT;NULL
NIT00005;Ultrapoly 30 královská modrá 556;ks;NIT;NULL
NIT00006;Ultrapoly 30 zářivě růžová 345;ks;NIT;NULL
NIT00007;Ultrapoly 30 neon oranžová 215;ks;NIT;NULL
NIT00008;Ultrapoly 30 bílá 001;ks;NIT;NULL
NIT00009;Ultrapoly 30 modrá podšívka 658;ks;NIT;NULL
NIT00010;Ultrapoly 30 fialová 458;ks;NIT;NULL
NIT00011;Ultrapoly 30 přírodní 710;ks;NIT;NULL
NIT00012;Ultrapoly 30 vínová 344;ks;NIT;NULL
NIT00013;Ultrapoly 30 červená 337;ks;NIT;NULL
NIT00014;Ultrapoly 30 tmavě šedá 888;ks;NIT;NULL
NIT00015;Ultrapoly 30 desertní 1222;ks;NIT;NULL
NIT00016;Ultrapoly 30 neon žlutá 115;ks;NIT;NULL
NIT00017;Ultrapoly 30 foxy 273;ks;NIT;NULL
BAL00001;papírová karta příběh + označení batohu;ks;BAL;NULL
BAL00002;igelitový pytel s logem;ks;BAL;NULL
BAL00003;krabice 51x38x7;ks;BAL;NULL
BAL00004;lepící páska Braasi Industry;m;BAL;NULL
BAL00005;štítek Zásilkovna;ks;BAL;NULL
BAL00006;štítek GLS;ks;BAL;NULL
